"id","corporate_office","zone","circle","division","subdivision","section","rate_schedule_main_grp","tariff","rate_schedule_code","debit_rate","credit_rate","demand_based_tariff","time_of_day","voltage_class_kv","active_installations","inactive_installations","total_installations","metered_installations","unmetered_installations","total_metered_unmetered","dc_mnr_installations","installations_billed","installations_unbilled","total_billed_unbilled","ob_active","ob_inactive","ob_total","demand_active","demand_inactive","demand_total","collection_active","collection_inactive","collection_total","assessed_taxed_consumption","assessed_tax_exempted_consumption","metered_taxed_consumption","metered_tax_exempted_consumption","total_consumption","bill_cancellation_consumption","net_consumption","wheeled_energy_units","ob_revenue","ob_interest_rev_misc","ob_interest_tax","ob_tax","ob_total_sum","misc_revenue","misc_demand","misc_interest_rev_arrears","misc_total_sum","cur_revenue","cur_misc_demand","cur_interest_rev_arrears","cur_interest_tax","cur_tax","cur_total_sum","dr_adj_revenue","dr_adj_misc","dr_adj_tax","dr_adj_total","bc_revenue","bc_misc","bc_interest_rev_misc","bc_interest_tax","bc_tax","bc_total_sum","net_demand_revenue","net_demand_tax","coll_revenue","coll_interest_rev_misc","coll_interest_tax","coll_tax","coll_total_sum","cr_adj_revenue","cr_adj_misc","cr_adj_tax","cr_adj_total","net_iod","net_reversal_iod","suspense_to_rr_transfer","from_rr_transfer","to_rr_transfer","pc_revenue","pc_interest_revenue","pc_interest_tax","pc_tax","pc_total","net_collection","write_off","cb_revenue","cb_interest_rev_misc","cb_interest_tax","cb_tax","cb_total_sum","average_cost_of_supply","pct_live_installations","pct_billed_installations","pct_dc_mnr_installations","pct_metered_consumption","pct_assessed_consumption","pct_coll_eff_with_adj","pct_coll_eff_without_adj","ratio_arrears_to_demand","demand_per_unit","coll_per_unit_with_adj","coll_per_unit_without_adj","consumption_per_installation","pct_recovery_of_avg_cost","gst_tcs_ob","gst_tcs_demand","gst_tcs_debit_adjustment","gst_tcs_bill_cancellation","gst_tcs_net_demand","gst_tcs_collection","gst_tcs_credit_adjustment","gst_tcs_payment_cancellation","gst_tcs_cb"
"11","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","LT","LT5","LT5-N","23.1517","61.1517","N","N","Upto 11","3650","278","3928","3650","0","3650","0","3374","276","3650","53447053.79","0.0","53447053.79","553394362.1","0.0","553394362.1","521428891.88","0.0","521428891.88","996606.86","0.0","42499745.82","0.0","43496352.68","165877.91","43330474.77","0.0","53447053.79","1110945.7","30746.96","4497044.92","59307303.83","53447053.79","37386632.91","441306.88","91274993.58","477124017.83","37386632.91","441306.88","0.0","41854186.22","556806143.84","950390.76","0.0","0.0","950390.76","335926.08","0.0","0.0","0.0","53797.37","389723.44","553394362.1","41800388.85","521428891.88","433702.8","0.0","45552560.98","569742315.6","455539.36","0.0","0.0","455539.36","8225630.09","91095.29","0.0","0.0","0.0","840343.26","0.0","0.0","0.0","840343.26","569357511.69","32903.59","85379620.41","1118549.79","0.0","744872.8","87505357.41","9.92","100","92.4384","0","97.7088","2.2912","89.0508","87.9122","0.134825","14.9215","13.2877","13.0986","11916.809","132.0426","221512.46","2367961.89","0.0","0.0","2367961.89","2327159.94","0.0","0.0","262314.41"
"12","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","LT","LT4","LT4-N","23.1417","61.1417","N","N","Upto 11","716","54","770","716","0","716","0","662","54","716","1611254.24","0.0","1611254.24","10574501.13","0.0","10574501.13","10514518.63","0.0","10514518.63","134532.75","0.0","3702141.94","0.0","3836674.69","13645.59","3823029.09","0.0","1611254.24","46211.28","1987.29","127170.07","1786622.88","1611254.24","779244.36","27033.84","2417532.45","9008210.15","779244.36","27033.84","0.0","748592.68","10563081.03","6776.15","0.0","0.0","6776.15","53041.57","0.0","0.0","0.0","3591.1","56632.67","10574501.13","745001.58","10514518.63","26766.68","0.0","867108.11","11408393.42","85697.5","0.0","0.0","85697.5","146015.06","6445.24","0.0","0.0","0.0","29449.01","0.0","0.0","0.0","29449.01","11464641.91","1013.94","1670222.81","46478.43","0.0","5063.54","1721764.78","9.92","100","92.4581","0","96.4935","3.5065","88.9664","87.8879","0.132572","3.3851","3.0116","2.9735","5358.4842","29.9749","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","Chamarajapete","Chamarajapete","HT","HT","HT1","23.2507","61.2507","N","N","11","32","2","34","32","0","32","0","30","2","32","57111029.84","0.0","57111029.84","271562768.29","0.0","271562768.29","278796110.86","0.0","278796110.86","0.0","0.0","29454364.1","0.0","29454364.1","4701.42","29449662.68","0.0","57111029.84","768945.98","36047.11","3336609.24","61501067.51","57111029.84","18895764.85","997676.12","77004470.81","230576646.98","18895764.85","997676.12","0.0","19162131.04","269632218.99","1700450.0","0.0","0.0","1700450.0","501210.63","0.0","0.0","0.0","68030.19","569240.82","271562768.29","19094100.85","278796110.86","966840.94","0.0","21803371.48","302853313.35","2702919.48","0.0","0.0","2702919.48","3956010.05","109955.77","0.0","0.0","0.0","568399.05","0.0","0.0","0.0","568399.05","304987833.79","278642.12","49599045.15","799781.16","0.0","627338.6","51315645.88","9.92","100","93.75","0","100.0","0.0","88.0783","87.3691","0.147316","11.8263","10.4164","10.2821","920448.8781","103.6504","248435.35","1328035.69","0.0","0.0","1328035.69","1286990.07","0.0","0.0","289480.96"
"14","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","Chamarajapete","Chamarajapete","HT","HT","HT2A1-N","23.2607","61.2607","N","N","Upto 11","28","2","30","28","0","28","0","26","2","28","52034363.86","0.0","52034363.86","291345014.28","0.0","291345014.28","291198654.78","0.0","291198654.78","0.0","0.0","23378850.97","0.0","23378850.97","70563.71","23308287.26","0.0","52034363.86","1558248.03","53080.15","3120563.47","56827257.48","52034363.86","19833540.92","671045.37","72538950.16","248892951.83","19833540.92","671045.37","0.0","20526845.72","289924383.84","1672471.52","0.0","0.0","1672471.52","229581.66","0.0","0.0","0.0","79342.23","308923.89","291345014.28","20447503.48","291198654.78","649351.18","0.0","22882913.53","315505920.3","52075.95","0.0","0.0","52075.95","3348735.39","139715.01","0.0","0.0","0.0","1080797.12","0.0","0.0","0.0","1080797.12","314477199.12","239144.91","51941578.45","1579942.22","0.0","685153.42","54293568.08","9.92","100","92.8571","0","100.0","0.0","87.5648","87.0449","0.149103","15.5754","13.6386","13.4954","834958.9633","136.0419","61001.97","800892.82","0.0","0.0","800892.82","775000.8","0.0","0.0","86893.99"
"15","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","Chamarajapete","Chamarajapete","HT","HT","HT2A2-N","23.2237","61.2617","N","N","Upto 11","36","3","39","36","0","36","0","33","3","36","49842500.09","0.0","49842500.09","347520283.55","0.0","347520283.55","342093018.74","0.0","342093018.74","0.0","0.0","32792453.86","0.0","32792453.86","102679.86","32689774.0","0.0","49842500.09","1334686.97","48295.67","3051062.39","54550008.5","49842500.09","25798421.43","805221.83","76446143.35","293539804.06","25798421.43","805221.83","0.0","27296302.3","347439749.61","2798299.26","0.0","0.0","2798299.26","2025106.27","0.0","0.0","0.0","43580.28","2068686.55","347520283.55","27252722.02","342093018.74","802198.49","0.0","30233420.52","375786783.46","3411578.92","0.0","0.0","3411578.92","4882879.63","216070.43","0.0","0.0","0.0","1284550.66","0.0","0.0","0.0","1284550.66","377913811.72","187924.69","55081840.21","1337710.31","0.0","70363.9","56773395.85","9.92","100","91.6667","0","100.0","0.0","89.2158","88.6528","0.133057","13.0117","11.6085","11.4596","910901.4961","115.5197","273463.38","2668163.78","0.0","0.0","2668163.78","2658145.72","0.0","0.0","283481.44"
"16","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","Chamarajapete","Chamarajapete","HT","HT","HT2B1","23.2707","61.2707","N","N","11","28","2","30","28","0","28","0","26","2","28","61784823.34","0.0","61784823.34","319035334.6","0.0","319035334.6","329084033.1","0.0","329084033.1","0.0","0.0","22669405.8","0.0","22669405.8","29851.03","22639554.77","0.0","61784823.34","1039291.18","89805.2","5543729.24","68801713.78","61784823.34","23255916.63","1170115.54","86210855.5","270209424.77","23255916.63","1170115.54","0.0","24963947.04","319599403.97","31304.9","0.0","0.0","31304.9","57459.39","0.0","0.0","0.0","24503.13","81962.53","319035334.6","24939443.9","329084033.1","1159858.47","0.0","30240250.26","363049819.64","3114174.35","0.0","0.0","3114174.35","4118325.37","172853.81","0.0","0.0","0.0","737084.18","0.0","0.0","0.0","737084.18","365426909.81","64486.26","51671638.59","1049548.25","0.0","242922.88","53330863.8","9.92","100","92.8571","0","100.0","0.0","90.4708","89.4629","0.131408","17.9026","16.1966","16.015","809621.6357","161.4412","344064.82","2588367.07","0.0","0.0","2588367.07","2565677.81","0.0","0.0","366754.08"
"17","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","Chamarajapete","Chamarajapete","HT","HT","HT2B2","23.2737","61.2737","N","N","11","35","3","38","35","0","35","0","32","3","35","54848045.13","0.0","54848045.13","284783765.36","0.0","284783765.36","290676592.86","0.0","290676592.86","0.0","0.0","33312999.13","0.0","33312999.13","102164.45","33210834.67","0.0","54848045.13","1566041.92","68452.78","4287022.62","60855946.41","54848045.13","19939686.3","448780.16","75236511.59","242871997.46","19939686.3","448780.16","0.0","20201422.79","283461886.72","2274749.86","0.0","0.0","2274749.86","1139914.88","0.0","0.0","0.0","23334.4","1163249.28","284783765.36","20178088.4","290676592.86","438162.94","0.0","23909098.68","315799127.78","421184.87","0.0","0.0","421184.87","3224637.49","27120.01","0.0","0.0","0.0","959985.95","0.0","0.0","0.0","959985.95","315260326.7","237933.47","48717284.15","1576659.14","0.0","556012.34","50955125.42","9.92","100","91.4286","0","100.0","0.0","88.3788","88.0403","0.14116","10.8358","9.5766","9.4798","951799.975","95.5621","86383.96","794059.12","0.0","0.0","794059.12","775273.3","0.0","0.0","105169.79"
"18","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","Chamarajapete","Chamarajapete","HT","HT","HT2C1","23.2708","61.2708","N","N","11","41","3","44","41","0","41","0","38","3","41","66313336.34","0.0","66313336.34","366627790.52","0.0","366627790.52","378999946.09","0.0","378999946.09","0.0","0.0","32543008.53","0.0","32543008.53","14476.82","32528531.71","0.0","66313336.34","757006.96","43456.33","3131595.13","70408376.73","66313336.34","24926293.95","739155.63","91978785.93","316530549.64","24926293.95","739155.63","0.0","26097395.73","368293394.95","930064.74","0.0","0.0","930064.74","2163723.02","0.0","0.0","0.0","60682.84","2224405.86","366627790.52","26036712.89","378999946.09","731734.14","0.0","28935517.49","410527652.09","2960336.77","0.0","0.0","2960336.77","4769339.89","51388.5","0.0","0.0","0.0","95543.89","0.0","0.0","0.0","95543.89","413392444.98","36113.83","53905066.94","764428.44","0.0","232790.53","55084137.2","9.92","100","92.6829","0","100.0","0.0","90.0466","89.1924","0.119436","14.1721","12.7615","12.6149","793731.9154","127.1666","162981.96","1879323.7","0.0","0.0","1879323.7","1860454.37","0.0","0.0","181851.29"
"19","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","Chamarajapete","Chamarajapete","LT","LT1","LT1-M","23.1017","61.1017","N","N","Upto 11","2473","188","2661","2473","0","2473","0","2286","187","2473","439126.11","0.0","439126.11","3601413.57","0.0","3601413.57","3499230.57","0.0","3499230.57","22998.82","0.0","595181.58","0.0","618180.4","203.5","617976.9","0.0","439126.11","10480.02","340.34","47037.97","496984.45","439126.11","245371.26","4112.07","688609.43","3116551.07","245371.26","4112.07","0.0","265300.61","3631335.01","9605.34","0.0","0.0","9605.34","23709.49","0.0","0.0","0.0","700.44","24409.92","3601413.57","264600.18","3499230.57","4046.79","0.0","307380.19","3810657.55","9412.65","0.0","0.0","9412.65","43889.8","966.79","0.0","0.0","0.0","12952.96","0.0","0.0","0.0","12952.96","3807117.24","1643.94","539665.17","10545.3","0.0","4257.96","554468.44","9.92","100","92.4383","0","96.2796","3.7204","89.0288","88.2108","0.128066","7.0037","6.2353","6.1643","249.9719","62.1403","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","Chamarajapete","Chamarajapete","LT","LT2","LT2A1-N","23.1117","61.1117","N","N","Upto 11","65741","5004","70745","65741","0","65741","0","60777","4964","65741","112610067.12","0.0","112610067.12","576867423.04","0.0","576867423.04","594250819.37","0.0","594250819.37","3102337.82","0.0","71472887.74","0.0","74575225.56","129301.32","74445924.24","0.0","112610067.12","3322868.63","69354.49","5675741.56","121678031.8","112610067.12","40360167.39","2235093.48","155205327.99","490200975.31","40360167.39","2235093.48","0.0","41833582.7","574629818.88","3104103.0","0.0","0.0","3104103.0","1628177.01","0.0","0.0","0.0","14626.14","1642803.16","576867423.04","41818956.55","594250819.37","2203354.02","0.0","46834667.72","643288841.11","338343.78","0.0","0.0","338343.78","7641450.8","29409.9","0.0","0.0","0.0","1595195.06","0.0","0.0","0.0","1595195.06","642031989.84","437019.81","94789650.97","3354608.09","0.0","660030.4","98804289.46","9.92","100","92.4492","0","95.84","4.16","88.8109","88.1417","0.134806","9.8282","8.7285","8.626","1134.3792","86.956","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
